transaction_id,customer_id,product_id,transaction_date,quantity
113,754,83,2021-10-26,3
114,854,76,2022-09-12,4
115,93,20,2022-03-29,4
116,86,65,2022-01-28,4
117,44,85,2021-07-31,2
118,137,49,2022-10-30,2
119,421,1,2022-06-22,4
120,74,10,2022-08-17,1
121,548,47,2022-08-18,1
122,613,59,2021-05-11,4
123,988,96,2021-11-25,2
124,512,62,2022-09-04,2
125,156,86,2021-09-13,1
126,938,18,2022-04-24,3
127,255,46,2022-07-15,1
128,171,32,2021-03-04,3
129,981,27,2021-11-07,2
130,728,92,2022-02-11,2
131,170,18,2021-04-15,4
132,764,39,2022-09-09,2
133,872,49,2021-01-15,3
134,322,93,2022-11-18,1
135,567,82,2021-09-16,4
136,456,44,2022-12-24,3
137,944,72,2022-02-16,1
138,603,54,2021-09-16,1
139,790,95,2022-09-06,1
140,613,34,2021-09-17,2
141,155,71,2022-11-02,1
142,889,36,2021-02-14,2
143,349,18,2021-11-27,1
144,451,38,2021-06-14,1
145,876,59,2021-07-12,2
146,653,9,2022-06-05,2
147,173,73,2022-02-05,3
148,10,72,2022-01-09,1
149,740,51,2021-03-06,2
150,265,35,2022-01-22,3
151,438,82,2022-05-10,3
152,760,5,2022-11-24,2
153,247,14,2022-02-19,1
154,667,92,2021-01-30,3
155,546,30,2021-09-23,1
156,499,4,2021-11-24,1
157,129,39,2022-05-07,3
158,672,84,2021-08-05,2
159,601,64,2021-11-16,1
160,605,25,2022-02-03,4
161,327,28,2021-04-15,2
162,753,76,2022-11-27,3
163,835,66,2021-11-26,4
164,980,78,2022-10-22,1
165,404,22,2022-09-09,2
166,629,31,2021-02-16,4
167,606,23,2022-08-22,2
168,675,48,2022-10-03,1
169,611,20,2021-11-10,2
170,625,38,2021-05-27,4
171,359,55,2022-04-07,2
172,603,68,2022-08-07,3
173,858,79,2022-05-01,3
174,718,88,2022-10-14,4
175,17,89,2022-02-14,2
176,274,1,2021-01-27,4
177,685,7,2021-01-29,2
178,116,57,2021-09-28,1
179,861,95,2022-11-17,3
180,980,12,2022-05-16,1
181,693,5,2021-09-10,2
182,91,50,2022-01-20,1
183,82,42,2021-03-01,4
184,324,12,2021-04-17,4
185,961,18,2021-08-08,2
186,114,66,2022-03-17,3
187,769,74,2022-10-20,4
188,58,79,2022-07-18,3
189,154,94,2022-07-26,2
190,877,17,2022-06-30,3
191,404,68,2021-04-06,2
192,628,71,2021-03-30,1
193,855,62,2021-08-19,2
194,266,41,2021-10-02,1
195,315,95,2021-09-03,2
196,715,34,2021-04-21,4
197,41,70,2021-08-22,4
198,105,45,2021-10-05,3
199,901,58,2022-04-22,2
200,890,51,2022-02-21,2
201,193,34,2022-11-09,2
202,401,44,2021-05-08,3
203,278,15,2021-08-25,4
204,354,78,2022-09-11,2
205,749,70,2021-05-08,3
206,937,50,2022-12-08,2
207,733,32,2022-01-29,1
208,580,67,2022-04-20,2
209,709,3,2022-10-17,1
210,256,86,2022-01-30,3
211,651,86,2021-04-21,3
212,824,74,2021-03-31,4
213,947,51,2021-10-07,2
214,661,67,2021-11-29,3
215,99,76,2021-08-12,4
216,588,93,2021-04-11,2
217,282,48,2021-05-12,3
218,883,17,2021-01-13,1
219,403,7,2022-04-02,3
220,109,13,2022-03-17,1
221,700,66,2021-04-08,4
222,199,4,2021-04-30,4
223,303,10,2021-10-20,2
224,327,88,2022-12-12,2
225,154,17,2021-01-01,2
226,552,52,2022-07-26,4
227,645,6,2021-09-07,1
228,405,83,2022-10-14,2
229,462,69,2021-05-29,2
230,132,96,2022-01-30,4
231,791,74,2021-02-13,1
232,874,9,2022-11-29,3
233,84,91,2022-09-12,2
234,399,77,2021-02-13,3
235,754,83,2021-03-19,3
236,628,21,2021-08-14,2
237,109,24,2021-06-11,4
238,221,4,2021-09-10,2
239,904,24,2021-05-12,1
240,553,59,2022-03-24,1
241,368,99,2022-04-19,2
242,147,3,2022-10-18,3
243,112,68,2021-04-19,1
244,615,40,2022-12-07,1
245,558,48,2021-02-04,2
246,924,54,2022-04-12,2
247,494,35,2021-10-02,4
248,505,95,2021-07-06,2
249,475,56,2021-08-31,2
250,836,89,2021-09-21,1
251,890,40,2022-06-06,1
252,271,77,2022-11-09,1
253,995,68,2022-06-25,3
254,421,46,2021-03-28,1
255,897,78,2022-06-19,1
256,707,13,2021-07-29,2
257,367,27,2021-02-15,4
258,280,6,2022-04-12,1
259,283,17,2022-06-24,4
260,40,36,2021-01-26,1
261,959,99,2021-09-23,1
262,189,81,2021-06-24,4
263,164,2,2022-05-31,2
264,994,77,2021-11-07,1
265,989,52,2021-11-18,4
266,536,66,2022-08-02,1
267,536,52,2021-05-15,3
268,4,92,2021-02-24,3
269,835,43,2022-06-27,3
270,290,90,2022-08-09,3
271,953,22,2022-06-15,2
272,433,55,2021-06-05,3
273,471,67,2022-10-30,4
274,181,99,2021-05-27,1
275,248,60,2022-04-30,4
276,628,58,2022-08-22,3
277,279,12,2021-01-20,2
278,877,88,2021-09-26,3
279,581,69,2021-11-29,3
280,863,84,2022-07-09,2
281,254,39,2022-02-05,2
282,181,13,2021-11-02,2
283,830,41,2021-01-28,2
284,681,57,2022-04-12,2
285,825,53,2021-09-17,2
286,509,12,2022-06-18,1
287,761,13,2021-04-11,3
288,700,74,2022-07-05,3
289,566,97,2021-12-19,2
290,326,57,2021-10-27,4
291,357,40,2022-11-13,2
292,825,80,2021-10-23,1
293,650,45,2021-12-19,4
294,680,35,2021-05-10,1
295,391,3,2021-06-05,4
296,615,5,2021-03-15,4
297,934,90,2021-12-08,2
298,85,11,2022-04-10,1
299,317,71,2021-03-31,4
300,212,56,2022-08-02,1
301,515,10,2022-03-31,2
302,384,34,2022-12-13,2
303,691,67,2021-11-28,2
304,342,72,2021-12-14,2
305,815,31,2021-08-21,3
306,964,75,2022-08-21,4
307,988,71,2021-04-12,3
308,844,66,2022-04-26,2
309,38,70,2021-08-02,4
310,511,41,2021-04-18,4
311,420,63,2021-06-14,1
312,751,32,2022-08-26,2
313,169,20,2022-12-05,3
314,965,57,2021-12-01,1
315,909,98,2021-03-27,4
316,343,50,2022-02-28,3
317,826,80,2022-09-05,2
318,306,25,2021-12-30,3
319,542,12,2021-03-01,3
320,702,71,2022-04-27,3
321,869,39,2021-09-07,1
322,537,17,2022-07-14,4
323,112,45,2021-04-27,3
324,411,11,2022-06-29,4
325,947,70,2021-02-13,1
326,206,23,2022-05-24,2
327,185,91,2021-06-14,2
328,382,70,2022-01-03,3
329,496,38,2021-10-19,1
330,379,2,2021-10-13,2
331,47,86,2021-07-23,1
332,886,84,2022-11-15,1
333,740,89,2022-06-08,3
334,551,79,2021-05-01,3
335,528,93,2022-10-26,1
336,504,72,2022-10-26,1
337,22,37,2021-07-07,3
338,213,49,2021-01-13,1
339,310,52,2022-08-26,3
340,661,33,2021-07-19,4
341,968,22,2022-08-09,1
342,753,5,2022-04-01,3
343,272,18,2022-03-24,1
344,571,38,2021-03-12,3
345,799,37,2022-08-13,1
346,938,94,2021-05-10,2
347,202,95,2021-02-12,2
348,32,64,2022-06-04,1
349,443,10,2021-01-13,2
350,162,79,2022-12-26,1
351,767,42,2022-09-15,1
352,254,48,2022-06-19,4
353,521,44,2021-10-29,4
354,977,82,2022-06-11,2
355,651,87,2022-10-04,4
356,480,97,2022-07-27,4
357,10,16,2021-04-25,1
358,726,54,2022-04-05,3
359,505,35,2022-05-20,1
360,785,98,2021-11-04,4
361,836,28,2021-11-21,1
362,560,2,2022-08-02,2
363,436,94,2021-06-24,3
364,111,13,2022-05-29,4
365,153,41,2021-06-21,4
366,635,80,2022-05-17,1
367,917,59,2021-11-30,1
368,869,69,2021-10-11,1
369,102,92,2022-04-20,1
370,753,53,2021-02-23,4
371,833,45,2022-04-03,1
372,191,20,2022-08-02,4
373,729,24,2022-02-24,1
374,563,61,2022-09-06,3
375,804,91,2022-09-24,3
376,81,94,2022-12-04,1
377,489,58,2022-02-13,1
378,895,27,2021-10-31,2
379,88,26,2022-07-13,3
380,194,7,2021-08-10,4
381,104,42,2022-06-17,3
382,783,47,2021-06-07,4
383,96,53,2021-12-14,1
384,423,59,2021-06-08,3
385,891,38,2021-08-23,3
386,198,69,2022-10-24,2
387,1,87,2022-02-09,2
388,407,92,2021-09-14,3
389,378,98,2022-11-08,3
390,167,53,2022-08-12,3
391,509,15,2022-08-20,4
392,638,96,2022-07-12,1
393,313,26,2021-02-16,2
394,593,48,2021-08-01,1
395,418,95,2022-04-24,2
396,763,19,2022-05-02,2
397,681,9,2022-07-25,2
398,477,64,2022-07-20,3
399,73,93,2021-12-08,2
400,141,54,2022-06-08,1
401,582,51,2022-12-05,2
402,262,39,2022-05-18,1
403,340,4,2021-01-06,2
404,308,3,2021-05-24,2
405,245,64,2021-09-18,3
406,515,29,2022-08-08,1
407,337,11,2022-11-17,2
408,575,97,2021-08-20,2
409,561,58,2021-09-27,1
410,76,75,2022-03-23,2
411,880,27,2021-08-10,4
412,175,97,2021-02-21,3
413,109,21,2021-04-26,1
414,183,39,2022-06-22,3
415,192,95,2022-07-19,4
416,65,46,2022-06-25,4
417,849,66,2021-01-19,4
418,963,91,2022-01-27,1
419,474,36,2022-09-21,4
420,783,75,2022-09-10,1
421,100,82,2022-02-23,1
422,544,65,2021-11-05,2
423,864,63,2021-07-05,1
424,128,99,2021-09-18,4
425,452,35,2022-06-12,1
426,914,31,2021-09-30,1
427,369,28,2021-06-09,3
428,851,1,2021-08-12,4
429,43,25,2021-09-13,1
430,884,43,2021-06-29,2
431,419,84,2021-01-20,1
432,488,67,2022-09-16,1
433,78,63,2022-09-24,3
434,826,51,2022-12-07,4
435,801,2,2022-04-13,4
436,270,82,2022-09-15,2
437,674,64,2021-07-29,2
438,701,74,2022-05-28,2
439,759,69,2021-02-27,1
440,900,9,2021-04-03,1
441,728,2,2021-08-09,2
442,315,34,2022-12-24,4
443,925,60,2021-08-20,4
444,851,61,2021-12-30,2
445,902,31,2022-09-07,3
446,889,10,2022-07-16,4
447,993,76,2022-01-09,4
448,945,36,2022-09-14,2
449,168,85,2022-04-01,4
450,339,49,2021-03-29,1
451,193,70,2021-01-20,1
452,453,49,2021-01-14,4
453,283,3,2021-05-13,1
454,336,74,2021-02-03,3
455,390,5,2021-07-27,4
456,1000,90,2021-07-18,2
457,525,61,2022-08-15,1
458,240,85,2022-08-06,3
459,832,90,2021-06-04,3
460,958,26,2022-08-13,1
461,483,72,2021-03-19,3
462,659,5,2021-06-21,4
463,716,15,2021-10-16,3
464,592,16,2022-06-29,1
465,891,1,2022-02-24,3
466,555,16,2021-01-07,1
467,458,37,2021-06-09,1
468,89,3,2021-08-28,3
469,660,52,2022-02-27,1
470,95,47,2022-06-20,1
471,452,95,2022-12-27,2
472,428,13,2021-03-11,4
473,151,80,2021-08-04,1
474,514,55,2021-04-14,4
475,376,21,2022-12-28,2
476,22,66,2021-02-23,2
477,883,54,2021-11-26,2
478,313,27,2021-07-22,2
479,997,38,2021-10-15,4
480,840,90,2021-02-14,3
481,519,58,2021-07-17,3
482,206,62,2021-08-04,4
483,952,46,2022-04-26,1
484,375,89,2021-11-05,4
485,451,11,2022-03-11,1
486,626,72,2021-11-28,1
487,784,8,2022-11-27,3
488,595,97,2021-01-27,2
489,179,71,2021-06-15,3
490,210,64,2021-11-14,3
491,500,21,2021-10-01,4
492,464,72,2022-01-18,4
493,840,63,2021-12-31,1
494,124,85,2021-04-13,4
495,993,64,2022-05-18,1
496,113,20,2022-01-08,1
497,12,8,2022-09-08,2
498,126,58,2021-09-02,2
499,565,46,2021-06-18,3
500,331,31,2022-09-20,2
501,901,93,2022-10-15,1
502,283,9,2022-02-22,4
503,140,15,2021-12-22,2
504,401,94,2022-04-23,2
505,902,26,2021-05-05,2
506,97,10,2022-06-21,2
507,517,29,2022-12-07,1
508,569,80,2022-09-04,1
509,924,36,2022-02-06,3
510,846,84,2022-06-01,4
511,69,37,2022-06-15,3
512,118,86,2022-11-13,3
513,888,71,2021-09-11,2
514,59,23,2021-05-01,4
515,33,41,2021-02-01,2
516,318,93,2022-10-23,1
517,50,80,2021-02-06,3
518,880,28,2022-11-20,4
519,489,48,2021-12-08,1
520,19,38,2021-01-13,3
521,726,31,2021-07-02,4
522,197,14,2022-10-19,3
523,891,97,2021-09-22,4
524,450,73,2021-03-29,3
525,990,91,2022-04-07,2
526,559,88,2021-02-15,3
527,679,77,2022-01-27,3
528,452,90,2021-04-29,4
529,289,29,2022-06-15,4
530,141,51,2022-03-23,2
531,84,49,2022-08-29,4
532,694,43,2021-02-15,3
533,391,92,2022-05-23,4
534,591,92,2022-07-12,4
535,215,72,2022-06-10,4
536,526,87,2022-08-20,2
537,215,93,2021-01-03,2
538,403,5,2021-01-28,1
539,128,42,2022-01-16,2
540,822,7,2021-06-06,2
541,477,42,2022-05-26,2
542,760,36,2021-11-29,3
543,404,27,2022-11-18,1
544,29,58,2021-04-24,3
545,792,46,2022-01-24,2
546,338,66,2022-05-02,2
547,831,25,2021-09-07,1
548,714,73,2022-07-25,1
549,361,27,2022-12-16,4
550,569,1,2021-11-11,2
551,392,87,2021-08-27,2
552,218,74,2021-08-22,3
553,574,42,2021-10-30,4
554,669,52,2022-08-30,2
555,202,25,2022-10-15,3
556,17,54,2021-11-30,1
557,322,67,2021-04-23,3
558,518,6,2022-09-13,2
559,570,58,2021-12-28,3
560,325,70,2021-04-07,3
561,412,53,2021-01-16,4
562,318,66,2022-07-10,4
563,681,58,2022-01-11,1
564,965,82,2022-01-25,4
565,82,87,2022-09-12,3
566,474,2,2021-08-05,4
567,468,76,2022-02-03,2
568,425,22,2021-09-17,3
569,945,37,2021-11-16,3
570,731,20,2021-07-15,3
571,689,24,2022-04-23,2
572,204,84,2022-02-22,3
573,583,65,2022-04-20,4
574,387,65,2022-08-30,2
575,778,81,2022-07-22,3
576,98,1,2022-06-28,4
577,345,94,2021-08-19,4
578,803,3,2022-06-05,1
579,208,46,2022-12-04,4
580,514,55,2021-07-19,4
581,636,75,2022-11-04,1
582,792,88,2022-08-22,1
583,586,86,2021-01-21,2
584,166,64,2021-11-07,4
585,22,45,2022-08-11,2
586,154,26,2022-10-15,2
587,939,77,2022-09-30,3
588,439,65,2022-08-19,2
589,295,24,2022-03-10,2
590,219,74,2022-01-06,2
591,669,35,2022-07-14,2
592,495,24,2021-03-19,1
593,230,28,2022-06-26,4
594,20,100,2021-10-12,3
595,987,80,2022-10-10,1
596,553,16,2021-05-20,3
597,950,59,2022-07-07,3
598,148,81,2021-10-09,1
599,108,54,2022-07-16,2
600,403,79,2021-09-15,1
601,596,16,2021-12-26,3
602,483,15,2022-03-16,3
603,367,98,2021-09-27,2
604,834,11,2021-05-14,1
605,414,65,2022-10-02,4
606,309,79,2021-04-14,3
607,802,90,2021-04-05,1
608,918,68,2022-12-30,2
609,835,43,2022-07-27,2
610,134,69,2022-04-25,4
611,719,99,2021-08-29,3
612,283,13,2021-01-13,4
613,778,10,2021-05-27,4
614,73,75,2022-08-24,4
615,481,82,2021-04-05,4
616,352,98,2021-10-20,2
617,560,41,2021-01-25,3
618,326,50,2021-09-29,4
619,745,87,2022-05-20,3
620,443,71,2021-06-15,2
621,100,59,2021-03-28,2
622,59,39,2022-10-16,1
623,508,3,2022-10-08,1
624,258,76,2022-09-30,3
625,413,7,2022-05-06,1
626,452,49,2021-05-21,4
627,65,26,2021-04-13,3
628,595,33,2021-08-14,2
629,154,48,2022-07-29,2
630,985,79,2021-10-21,4
631,266,2,2021-11-02,1
632,821,71,2021-09-11,3
633,79,32,2021-06-29,3
634,315,4,2021-02-09,4
635,662,20,2022-12-02,1
636,947,36,2022-06-04,3
637,560,32,2022-09-08,4
638,917,28,2022-06-30,3
639,891,77,2021-08-24,2
640,248,1,2022-04-08,3
641,790,60,2021-08-16,3
642,868,56,2022-12-01,3
643,610,35,2022-04-28,1
644,414,30,2022-03-06,1
645,25,54,2021-01-22,4
646,284,36,2021-12-09,1
647,449,55,2021-02-09,3
648,881,89,2021-06-22,3
649,301,80,2022-03-15,1
650,68,58,2021-06-28,1
651,7,83,2022-08-21,3
652,817,65,2021-05-13,3
653,137,69,2021-12-17,2
654,164,51,2022-06-09,4
655,83,22,2022-06-24,1
656,897,88,2022-05-21,4
657,650,53,2021-03-25,3
658,420,100,2022-04-09,4
659,73,36,2021-12-09,1
660,237,68,2021-10-07,1
661,46,36,2021-09-20,4
662,618,52,2021-06-15,1
663,928,53,2021-10-20,2
664,800,82,2022-05-24,3
665,262,50,2022-08-03,3
666,176,80,2021-08-14,1
667,166,41,2021-06-19,3
668,657,18,2022-08-21,2
669,842,22,2022-10-07,1
670,370,66,2022-03-24,2
671,795,21,2022-11-21,2
672,54,100,2022-05-17,3
673,690,44,2022-06-11,3
674,419,47,2022-01-14,4
675,756,39,2021-07-20,2
676,507,29,2022-09-11,3
677,341,54,2021-09-07,2
678,127,90,2022-02-13,4
679,409,85,2022-08-24,2
680,924,17,2021-05-05,1
681,367,80,2021-04-23,4
682,271,60,2021-05-17,4
683,644,31,2022-05-11,2
684,605,73,2022-11-09,2
685,379,95,2021-05-30,3
686,73,78,2021-12-09,1
687,923,49,2022-08-03,4
688,922,2,2021-11-17,4
689,915,48,2022-06-16,4
690,248,14,2021-10-16,3
691,860,59,2022-05-04,1
692,785,97,2022-05-07,4
693,43,99,2022-09-04,4
694,377,58,2021-09-09,3
695,41,58,2021-03-18,2
696,170,51,2022-10-09,4
697,946,84,2022-01-27,1
698,212,2,2022-02-16,1
699,493,41,2021-06-22,1
700,680,83,2021-07-20,1
701,39,82,2021-08-05,3
702,369,16,2022-01-11,4
703,757,4,2022-12-21,3
704,151,12,2022-08-09,1
705,111,29,2021-01-11,1
706,480,7,2021-01-12,1
707,436,14,2022-08-13,3
708,47,12,2022-03-11,1
709,575,99,2022-11-15,4
710,737,5,2022-08-31,1
711,366,81,2022-01-08,4
712,69,32,2021-09-30,4
713,299,74,2022-11-22,1
714,944,43,2022-07-30,3
715,802,81,2022-05-24,2
716,296,69,2021-05-12,2
717,203,45,2021-11-15,4
718,61,9,2022-09-13,3
719,946,49,2021-06-17,2
720,963,33,2022-02-01,1
721,830,100,2021-06-29,1
722,314,100,2021-02-27,4
723,161,18,2022-04-25,3
724,331,9,2022-08-14,3
725,528,62,2022-04-05,2
726,338,57,2021-03-02,2
727,606,29,2022-01-04,1
728,304,78,2021-05-01,4
729,503,25,2022-12-20,3
730,650,15,2022-06-30,2
731,338,6,2022-08-05,2
732,550,42,2021-01-17,4
733,639,29,2022-05-11,4
734,275,79,2022-05-12,1
735,164,93,2022-05-20,4
736,443,4,2022-06-16,1
737,319,82,2021-11-11,1
738,589,57,2021-03-10,4
739,504,49,2022-12-28,4
740,686,44,2021-06-10,4
741,387,80,2022-09-06,4
742,970,75,2022-12-19,4
743,870,14,2021-05-25,1
744,833,3,2022-07-23,2
745,888,62,2022-08-18,3
746,603,64,2022-01-20,3
747,750,45,2021-09-26,1
748,776,82,2022-03-30,1
749,691,58,2022-11-30,2
750,494,20,2022-06-02,4
751,490,58,2021-12-16,1
752,721,89,2021-04-20,3
753,73,57,2022-04-28,4
754,509,77,2022-02-11,1
755,390,68,2022-10-12,4
756,619,78,2021-02-20,3
757,857,97,2022-02-07,4
758,295,92,2022-07-17,1
759,369,52,2022-04-21,1
760,956,37,2021-03-28,3
761,796,8,2021-03-09,2
762,865,44,2022-08-19,2
763,694,98,2021-02-11,4
764,549,5,2021-02-26,1
765,649,69,2021-07-15,1
766,850,31,2022-11-09,3
767,568,45,2021-03-03,3
768,187,9,2021-09-20,1
769,853,32,2021-04-22,3
770,770,33,2022-12-12,2
771,445,67,2021-06-27,2
772,570,30,2021-01-26,4
773,363,76,2022-02-14,3
774,123,29,2022-06-15,4
775,188,3,2021-11-13,3
776,742,90,2022-06-16,3
777,680,57,2021-04-16,2
778,420,30,2022-04-09,1
779,626,9,2021-09-03,3
780,252,26,2021-03-22,3
781,619,2,2022-10-24,3
782,549,62,2022-01-31,1
783,335,3,2022-06-06,4
784,92,46,2021-09-21,4
785,530,68,2022-10-23,3
786,866,25,2021-10-01,3
787,63,51,2022-12-07,4
788,662,13,2021-06-21,4
789,512,44,2021-09-22,2
790,139,35,2021-01-26,3
791,698,55,2022-04-14,4
792,185,87,2022-04-21,2
793,205,9,2021-12-22,1
794,772,2,2021-01-26,3
795,214,61,2021-02-03,4
796,256,41,2021-09-21,3
797,135,44,2021-05-18,2
798,573,64,2022-11-26,4
799,875,31,2022-07-20,1
800,822,47,2022-04-07,1
801,88,2,2021-06-17,2
802,836,96,2022-09-23,1
803,988,82,2022-10-17,1
804,207,77,2021-03-22,1
805,129,69,2022-02-11,1
806,823,58,2022-07-28,1
807,3,44,2021-02-15,1
808,974,74,2022-08-22,1
809,934,56,2022-09-03,4
810,754,43,2021-02-22,1
811,121,89,2022-12-05,4
812,385,34,2022-04-21,3
813,614,30,2022-08-15,2
814,38,71,2021-01-16,1
815,341,70,2021-12-26,2
816,925,55,2022-05-02,1
817,645,67,2022-12-07,4
818,714,13,2022-05-17,1
819,860,3,2021-05-21,3
820,21,26,2022-09-12,2
821,242,57,2022-03-23,2
822,455,24,2021-10-17,3
823,963,53,2021-07-28,4
824,621,70,2022-04-20,4
825,303,43,2022-02-17,3
826,596,60,2022-11-08,2
827,595,58,2022-03-03,1
828,803,49,2022-01-06,4
829,964,42,2022-10-26,1
830,69,76,2021-10-17,2
831,129,100,2022-03-08,1
832,196,66,2021-09-25,3
833,140,11,2021-05-31,4
834,444,98,2022-12-20,4
835,283,90,2021-09-12,3
836,312,18,2021-12-19,3
837,746,85,2022-01-12,4
838,535,100,2022-10-15,4
839,665,52,2021-12-24,4
840,277,46,2022-08-31,2
841,61,44,2022-01-05,2
842,319,22,2021-08-15,2
843,890,53,2022-12-06,1
844,52,59,2021-10-30,2
845,856,94,2022-01-24,4
846,153,30,2022-01-12,2
847,749,8,2021-04-28,4
848,311,98,2021-01-05,3
849,814,57,2022-03-20,1
850,544,73,2021-12-18,1
851,567,20,2022-06-17,3
852,864,25,2022-10-26,4
853,389,19,2022-10-02,1
854,548,5,2021-05-04,2
855,622,75,2022-10-20,4
856,177,79,2021-10-04,1
857,362,72,2022-01-29,3
858,314,83,2022-10-26,4
859,807,87,2021-12-26,1
860,848,27,2022-09-15,3
861,97,40,2022-04-14,4
862,881,96,2022-09-20,2
863,213,26,2022-12-01,4
864,829,27,2021-02-26,2
865,137,62,2021-09-08,4
866,6,83,2021-05-30,3
867,109,50,2022-03-28,2
868,547,42,2021-06-11,2
869,39,29,2021-04-30,4
870,662,39,2022-08-05,1
871,425,60,2021-12-17,2
872,630,41,2021-04-09,4
873,261,33,2021-06-16,3
874,426,83,2022-10-25,4
875,87,83,2022-05-29,4
876,465,97,2022-10-26,2
877,76,16,2022-02-05,1
878,471,23,2021-12-31,3
879,976,7,2022-07-31,2
880,963,26,2021-11-22,2
881,414,96,2022-08-04,2
882,825,12,2022-09-25,3
883,895,72,2022-09-13,1
884,726,5,2021-09-04,3
885,457,92,2022-03-10,3
886,285,69,2021-04-03,1
887,239,49,2021-09-25,3
888,677,26,2022-09-07,4
889,599,5,2022-09-16,3
890,653,22,2021-11-17,2
891,672,79,2021-03-03,3
892,558,13,2021-10-27,2
893,372,28,2022-02-07,3
894,495,33,2022-10-10,2
895,624,23,2022-07-21,2
896,919,97,2022-09-12,2
897,45,18,2021-10-30,1
898,401,30,2021-09-10,3
899,247,26,2022-04-23,3
900,616,16,2022-01-04,4
901,597,77,2022-11-10,4
902,450,39,2021-06-09,4
903,485,33,2021-06-15,3
904,646,26,2021-07-24,1
905,620,48,2021-09-24,2
906,18,65,2021-05-18,3
907,606,38,2022-01-03,1
908,662,2,2022-03-19,1
909,758,6,2022-07-21,3
910,289,46,2022-12-22,2
911,414,50,2021-01-17,1
912,721,38,2021-03-09,3
913,638,88,2021-05-13,2
914,235,18,2022-12-01,4
915,416,27,2022-03-06,1
916,938,41,2021-11-04,1
917,499,72,2022-10-12,3
918,974,92,2021-06-23,3
919,634,74,2022-02-16,2
920,650,17,2021-04-07,4
921,115,62,2022-11-14,4
922,932,29,2021-06-03,3
923,674,58,2022-11-26,3
924,713,70,2021-08-30,2
925,234,78,2021-10-31,3
926,540,22,2021-10-12,2
927,11,6,2021-01-27,2
928,206,26,2022-02-06,4
929,679,39,2021-12-26,2
